"spec","site","basin","merged","region","maxl","maxw","maxth","maxstl","maxstw","maxbl","maxshw","size","geo.mean","sh.maxbl","sh.maxw","sh.maxshw","sh.maxth","sh.maxstl","sh.maxstw"
"554","41cp12","Red","north_L","north",25.4,12.18,3.82,5.75,3.84,19.65,8.34,"L",7.96204366267251,0.903391629869676,0.425109553836156,0.0463775079250608,-0.734435285827111,-0.325485853636336,-0.729213341845959
"555","41cp12","Red","north_L","north",22.92,12.87,3.54,3.71,3.69,19.21,9.18,"L",7.96204366267251,0.88074526833487,0.48021331316244,0.142341496186804,-0.810558981299912,-0.763653831826251,-0.769059250393159
"556","41cp12","Red","north_L","north",24.09,11.87,3.61,5.15,4.78,18.94,7.09,"L",7.96204366267251,0.866590379312338,0.399328500175982,-0.116000367901559,-0.790977936100805,-0.43568899376995,-0.51024516194223
"559","41cp12","Red","north_L","north",25.01,10.57,3.5,5.84,3.88,19.17,6.69,"L",7.96204366267251,0.878660848611958,0.283334091436552,-0.174071834305458,-0.821922739950227,-0.309954911605459,-0.718850554810413
"562","41cp12","Red","north_L","north",22.1,10.45,3.47,3.77,3.43,18.33,7.02,"L",7.96204366267251,0.833853353406019,0.271916269965225,-0.125922490407875,-0.830531114486827,-0.747610706985675,-0.842125447267746
"565","41cp12","Red","north_L","north",20.31,10.53,3.08,2.01,3.07,18.3,7.46,"L",7.96204366267251,0.83221535140178,0.279542617700289,-0.0651302942299252,-0.949756111460112,-1.37655098637461,-0.953008146846489
"591","41cp12","Red","north_L","north",25.49,13.37,4.42,7.04,4.95,18.45,8.42,"L",7.96204366267251,0.840378662040941,0.518327682668257,0.0559241198086404,-0.588546012355988,-0.123077538275644,-0.475298131864996
"646","41cp5","Red","north_S","north",16.37,10.46,2.63,3.85,4.03,12.52,6.43,"S",7.96204366267251,0.452641657226358,0.272872750191182,-0.213711170196067,-1.10770186225592,-0.726612560145902,-0.680919332487003
"649","41cp5","Red","north_S","north",23.38,13.88,4.11,7.33,5.54,16.05,8.34,"S",7.96204366267251,0.70102314113043,0.555763246633064,0.0463775079250608,-0.661262679937451,-0.0827101925470346,-0.362691207686402
"651","41cp5","Red","north_S","north",22.86,13.84,4.61,6.16,5.02,16.7,8.82,"S",7.96204366267251,0.740723010977115,0.552877241743929,0.102336161573105,-0.546457851437038,-0.256608930900166,-0.461255774741957
"652","41cp5","Red","north_S","north",22.51,12.67,3.37,6.33,4.39,16.18,8.28,"S",7.96204366267251,0.709090203184751,0.464551285887453,0.0391572599515739,-0.859772964081324,-0.22938547228951,-0.595356481358515
